dep1	num1	dep2	num2	blank	dr	title	is_cancelled	is_closed	professor1	professor2	professor3	pid1	pid2	pid3	cid	
dep1:AAS	num1:391	dep2:SOC	num2:391	blank:	dr:EC	title:Race, Class, and Intelligence in America	is_cancelled:N	is_closed:N	professor1:Howard F. Taylor	professor2:	professor3:	pid1:010003929	pid2:	pid3:	cid:000044	
dep1:AAS	num1:352	dep2:HIS	num2:483	blank:	dr:HA	title:Black Protest in 20th-Century America	is_cancelled:N	is_closed:N	professor1:Noliwe M. Rooks	professor2:	professor3:	pid1:110083032	pid2:	pid3:	cid:008645	
dep1:AAS	num1:403	dep2:ANT	num2:403	blank:	dr:EM	title:Race and Medicine	is_cancelled:N	is_closed:N	professor1:Carolyn M. Rouse	professor2:	professor3:	pid1:510107021	pid2:	pid3:	cid:009139	
dep1:AAS	num1:209	dep2:ENG	num2:209	blank:	dr:LA	title:Introduction to African-American Literature:  Harlem Renaissance to Present	is_cancelled:N	is_closed:N	professor1:Pamela E. Barnett	professor2:	professor3:	pid1:960055061	pid2:	pid3:	cid:009558	
dep1:AAS	num1:340	dep2:ENG	num2:367	blank:	dr:	title:Shades of Passing	is_cancelled:N	is_closed:N	professor1:Anne A. Cheng	professor2:	professor3:	pid1:000106168	pid2:	pid3:	cid:010235	
dep1:AAS	num1:383	dep2:HIS	num2:487	blank:	dr:	title:The Black Atlantic World: Black Encounters with Europe, Asia, and the Americas	is_cancelled:N	is_closed:N	professor1:Sarah-Jane Mathieu	professor2:	professor3:	pid1:110106783	pid2:	pid3:	cid:010248	
dep1:AAS	num1:500	dep2:ENG	num2:556	blank:	dr:	title:Introduction to African-American Intellectual Tradition: Studies in Black Feminism	is_cancelled:N	is_closed:N	professor1:Daphne A. Brooks	professor2:Valerie A. Smith	professor3:	pid1:960010016	pid2:010000654	pid3:	cid:000050	
dep1:AAS	num1:477	dep2:HIS	num2:477	blank:	dr:HA	title:The Civil Rights Movement	is_cancelled:N	is_closed:N	professor1:Joshua B. Guild	professor2:	professor3:	pid1:960223707	pid2:	pid3:	cid:008483	
dep1:AAS	num1:368	dep2:REL	num2:368	blank:	dr:EM	title:Topics in African American Religion	is_cancelled:N	is_closed:N	professor1:Melissa V. Harris-Lacewell	professor2:	professor3:	pid1:960067714	pid2:	pid3:	cid:009556	
dep1:AAS	num1:345	dep2:ENG	num2:368	blank:	dr:	title:Celluloid Mammy	is_cancelled:N	is_closed:N	professor1:Miriam J. Petty	professor2:	professor3:	pid1:960112560	pid2:	pid3:	cid:010236	
dep1:AFS	num1:200	dep2:	num2:	blank:	dr:SA	title:Introduction to African Studies	is_cancelled:N	is_closed:N	professor1:Emmanuel H. Kreike	professor2:	professor3:	pid1:410075236	pid2:	pid3:	cid:008819	
dep1:AFS	num1:301	dep2:ANT	num2:371	blank:	dr:SA	title:African Economic and Political Culture	is_cancelled:N	is_closed:N	professor1:Mahamadou L. Sagna	professor2:	professor3:	pid1:960019923	pid2:	pid3:	cid:009613	
dep1:AMS	num1:375	dep2:ART	num2:375	blank:	dr:LA	title:Defining Moments in American Culture	is_cancelled:N	is_closed:N	professor1:John Wilmerding	professor2:	professor3:	pid1:010005890	pid2:	pid3:	cid:000130	
dep1:AMS	num1:326	dep2:	num2:	blank:	dr:SA	title:Regulation of Sexuality	is_cancelled:N	is_closed:N	professor1:Mary Anne C. Case	professor2:	professor3:	pid1:960230486	pid2:	pid3:	cid:010300	
dep1:AMS	num1:302	dep2:	num2:	blank:	dr:SA	title:Disasters, Culture, and Society	is_cancelled:N	is_closed:N	professor1:Lee B. Clarke	professor2:	professor3:	pid1:960236346	pid2:	pid3:	cid:010292	
dep1:AMS	num1:304	dep2:	num2:	blank:	dr:HA	title:American Business History:  The Rise of Corporate America	is_cancelled:N	is_closed:N	professor1:Thorin R. Tritter	professor2:	professor3:	pid1:960008495	pid2:	pid3:	cid:010293	
dep1:ANT	num1:360	dep2:	num2:	blank:	dr:	title:The Uses of Deception: Perspectives on Magic and Science	is_cancelled:N	is_closed:N	professor1:Rena S. Lederman	professor2:	professor3:	pid1:010000344	pid2:	pid3:	cid:010234	
dep1:ANT	num1:336	dep2:	num2:	blank:	dr:SA	title:The Anthropology of Selected Regions	is_cancelled:N	is_closed:N	professor1:Isabelle R. Clark-Deces	professor2:	professor3:	pid1:110075032	pid2:	pid3:	cid:000181	
dep1:ANT	num1:390	dep2:	num2:	blank:	dr:HA	title:History of Anthropological Theory	is_cancelled:N	is_closed:N	professor1:Isabelle R. Clark-Deces	professor2:	professor3:	pid1:110075032	pid2:	pid3:	cid:000199	
dep1:ANT	num1:416	dep2:	num2:	blank:	dr:SA	title:Culture and International Order	is_cancelled:N	is_closed:N	professor1:John W. Borneman	professor2:	professor3:	pid1:310106958	pid2:	pid3:	cid:009321	
dep1:ANT	num1:405	dep2:	num2:	blank:	dr:SA	title:Topics in Anthropology	is_cancelled:N	is_closed:N	professor1:João Guilherme Biehl	professor2:	professor3:	pid1:110106957	pid2:	pid3:	cid:000205	
dep1:ANT	num1:406	dep2:	num2:	blank:	dr:SA	title:Theoretical Orientations in Cultural Anthropology	is_cancelled:N	is_closed:N	professor1:John W. Borneman	professor2:	professor3:	pid1:310106958	pid2:	pid3:	cid:000206	
