Lowrie House,218,292,65,57,,LOWRI,,1
Palmer House,836,140,37,51,,PALMH,,1
22 Chamber St.,972,75,51,53,,22CHA,,1
114 Nassau~ 122 Labrynth Books,1389,166,51,63,,114NA,,1
Garden Theater,1554,164,38,61,,GARDE,,1
11 University Place,922,329,36,24,,11UNI,,1
23 University Place,930,405,40,27,,23UNI,,1
Madison,966,264,104,95,,,MADIH,1
Hamilton,968,340,73,20,HAMIL,,,2
Holder,1070,262,72,100,HOLDE,,,1
Joline,982,370,89,59,JOLIN,,,1
Campbell,1071,370,48,45,,CAMPB,,1
North Guard Booth,1213,329,16,15,,NTHGB,,1
Alexander,1147,354,60,43,ALEXH,,,1
Maclean House,1237,282,27,41,,MACLE,,1
Stanhope,1237,335,24,32,STANH,,,1
Nassau Hall ,1275,360,80,49,,NASSH,,1
Henry House,1372,290,23,32,HENHO,,,1
Scheide caldwell House,1414,290,24,32,SCCAH,,,1
Firestone Library,1460,271,140,131,FIRES,,,1
Burr,1618,261,48,49,BURRH,,,1
Green,1633,310,103,79,GREEN,,,1
169 Nassau,1699,248,22,20,,169NA,,1
179 Nassau,1736,245,40,33,,179NA,,1
185 Nassau,1779,263,104,59,,185NA,,1
199~ 201 Nassau,1909,241,29,49,,201NA,,1
221 Nassau,2035,230,22,44,,221NA,,1
27~ 29 Edwards Place,834,487,28,25,,29EDW,,1
31 Edwards Place,823,512,21,20,,31EDW,,1
Blair~Buyers,997,431,146,87,BLAIR,,,1
U Store~Career Services~OIP,1003,475,55,41,CARRS,,,2
Lockhart,1018,513,49,61,,LOCKH,,3
48 University Place,1021,574,30,18,,48UNI,,4
Foulke,1029,592,55,46,,FOULK,,1
Henry,1033,638,46,94,,HENRY,,1
Witherspoon,1153,485,53,34,,WITHR,,1
Chancellor Green,1371,342,62,37,CHANC,,,1
East Pyne,1368,379,65,72,EPYNE,,,1
Chapel,1493,420,104,40,,CHAPE,,1
Dickinson,1603,426,39,72,DICKH,,,1
McCosh,1495,498,149,41,,MCCOS,,1
Hoyt,1789,399,39,41,HOYTL,,,2
20 William St.,1663,405,132,103,WIL41,,,1
Corwin~ Bendheim,1787,497,50,67,BENDH,,,1
Wallace,1837,486,103,54,WALLB,,,1
Robertson,1700,544,88,54,ROBEH,,,1
Fisher,1800,563,26,43,FISHH,,,1
Bendheim Finance,1852,556,49,26,BENDC,,,1
Friend Center,1964,383,128,45,FRIEN,,,1
Computer Science,2049,404,31,61,COMPU,,,1
Equad F,2139,357,29,33,EQUAF,,,1
Equad C,2135,390,37,73,EQUAC,,,1
Equad E,2144,463,28,69,EQUAE,,,1
Equad A,2172,450,84,26,EQUAA,,,1
Equad D,2234,376,22,83,EQUAD,,,2
Equad B,2167,376,68,24,EQUAB,,,2
Equad J,2258,376,38,83,EQUAJ,,,1
Equad G,2279,442,57,40,EQUAG,,,2
Von Neumann,2334,465,58,72,VONNH,,,1
Forbes,791,1031,120,214,FORBC,,,1
106 Alexander,916,1040,22,19,,106AL,,1
120~ 126 Alexander,927,1102,58,57,,126AL,,1
132-134~ 136 Alexander,935,1163,33,39,,136AL,,1
138-140~ 144 Alexander,943,1203,25,42,,144AL,,1
130 Alexander,985,1092,40,67,,130AL,,1
The Wa,938,1036,35,35,,THEWA,,1
81 Alexander,816,968,34,34,,81ALE,,1
99 Alexander,850,999,22,25,AL099,,,1
McCarter Theatre,960,854,52,66,,MCCAR,,1
Berlind Theatre,960,920,52,48,BERTL,,,1
Spelman~ 1-8,1081,838,99,96,,SPELM,,1
Dinky,1044,1012,21,37,,DINKY,,1
New South,1091,1031,40,36,,NEWSO,,1
West Garage (Lot 7),1081,1186,50,178,,WESTG,,1
172~180 Alexander,973,1324,55,55,,180AL,,1
Cogeneration plant,1131,1286,168,121,,COGEN,,1
South Guard Booth,1334,1297,12,11,,SOUGB,,1
MacMillan,1161,1216,166,54,,MACMI,,1
200 Elm,1242,1166,43,24,,200EL,,1
